t,power,slowness,back_azi
2020-01-01T01:30:46.905000Z,1690194.5926698903,0.08,87.0
2020-01-01T01:30:46.915000Z,1700973.563565769,0.08,60.0
2020-01-01T01:30:46.925000Z,1759987.0551870854,0.08,66.0
2020-01-01T01:30:46.935000Z,1688396.7138070066,0.08,63.0
2020-01-01T01:30:46.945000Z,1373110.0581041486,0.08,66.0
2020-01-01T01:30:46.955000Z,1257618.8961298182,0.48,159.0
2020-01-01T01:30:46.965000Z,1956032.1307526806,0.48,159.0
2020-01-01T01:30:46.975000Z,2484968.297046003,0.44,156.0
2020-01-01T01:30:46.985000Z,2900091.975547535,0.44,156.0
2020-01-01T01:30:46.995000Z,3118319.1056982027,0.48,159.0
2020-01-01T01:30:47.005000Z,3320825.0737192854,0.44,159.0
2020-01-01T01:30:47.015000Z,3513203.813257808,0.44,156.0
2020-01-01T01:30:47.025000Z,3316364.28538748,0.44,159.0
2020-01-01T01:30:47.035000Z,3176933.287717559,0.44,156.0
2020-01-01T01:30:47.045000Z,3278211.536970391,0.4,156.0
2020-01-01T01:30:47.055000Z,2962815.3356197937,0.44,159.0
2020-01-01T01:30:47.065000Z,3247132.685013963,0.44,162.0
2020-01-01T01:30:47.075000Z,3365936.1755862636,0.4,162.0
2020-01-01T01:30:47.085000Z,3863466.614416532,0.4,162.0
2020-01-01T01:30:47.095000Z,4164251.908731935,0.4,159.0
2020-01-01T01:30:47.105000Z,4220801.245396566,0.4,159.0
2020-01-01T01:30:47.115000Z,4062949.14232237,0.4,159.0
2020-01-01T01:30:47.125000Z,4163039.46559291,0.4,156.0
2020-01-01T01:30:47.135000Z,4135702.718719511,0.4,156.0
2020-01-01T01:30:47.145000Z,3914991.0596392374,0.4,153.0
2020-01-01T01:30:47.155000Z,3177699.6888893503,0.4,153.0
2020-01-01T01:30:47.165000Z,2335077.5686704013,0.4,153.0
2020-01-01T01:30:47.175000Z,1824066.8974451416,0.4,150.0
2020-01-01T01:30:47.185000Z,1288955.494641195,0.44,180.0
2020-01-01T01:30:47.195000Z,1227466.1350195694,0.44,183.0
2020-01-01T01:30:47.205000Z,882446.3640438875,0.44,186.0
2020-01-01T01:30:47.215000Z,870729.7143603088,0.36,159.0
2020-01-01T01:30:47.225000Z,940517.65635216,0.24,135.0
2020-01-01T01:30:47.235000Z,752812.8459304677,0.24,135.0
2020-01-01T01:30:47.245000Z,877010.8101959077,0.24,138.0
2020-01-01T01:30:47.255000Z,918060.5718477735,0.24,138.0
2020-01-01T01:30:47.265000Z,927504.9198974967,0.24,147.0
2020-01-01T01:30:47.275000Z,857876.2641917465,0.24,144.0
2020-01-01T01:30:47.285000Z,809518.5067150167,0.48,228.0
2020-01-01T01:30:47.295000Z,728812.8597447447,0.48,228.0
2020-01-01T01:30:47.305000Z,690984.586624667,0.44,225.0
2020-01-01T01:30:47.315000Z,610727.6251046831,0.36,9.0
2020-01-01T01:30:47.325000Z,676636.744036111,0.36,9.0
2020-01-01T01:30:47.335000Z,580906.4614340304,1.0,321.0
2020-01-01T01:30:47.345000Z,920573.4170779993,0.2,309.0
2020-01-01T01:30:47.355000Z,977285.0436945229,0.2,309.0
2020-01-01T01:30:47.365000Z,944987.091392141,0.2,309.0
2020-01-01T01:30:47.375000Z,1009001.722078547,0.24,309.0
2020-01-01T01:30:47.385000Z,1090302.9896522432,0.32,291.0
2020-01-01T01:30:47.395000Z,1079353.15980678,0.28,291.0
2020-01-01T01:30:47.405000Z,1136379.9083485184,0.08,144.0
2020-01-01T01:30:47.415000Z,1214599.5768019313,0.08,141.0
2020-01-01T01:30:47.425000Z,903121.0204726784,0.16,201.0
2020-01-01T01:30:47.435000Z,908216.685275579,0.16,198.0
